Date,All,Bin Fan,Calvin Jia,Andrew Audibert,Yupeng Fu,Haoyuan Li,Jiri Simsa,Gene Pang,Pei Sun,madanadit,cc,Chaomin Yu,haoyuan,Jan Hentschel,Yanqin Jin,Mingfei,David Capwell,bf8086,gjhkael,Henry Saputra,David Zhu,Shaoshan Liu,LuQQiu,Carson Wang,luoli,mbl,RongGu,Manu Goyal
Mon Jan 13 00:00:00 CST 2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 20 00:00:00 CST 2014,14,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Mon Jan 27 00:00:00 CST 2014,34,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mon Feb 03 00:00:00 CST 2014,64,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Mon Feb 10 00:00:00 CST 2014,29,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mon Feb 17 00:00:00 CST 2014,39,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Feb 24 00:00:00 CST 2014,33,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 03 00:00:00 CST 2014,25,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mon Mar 10 00:00:00 CST 2014,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 17 00:00:00 CST 2014,20,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 24 00:00:00 CST 2014,23,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
